Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156"
C ,12,-2.65E+00,0.01,Uncertainties estimated as 1% of abundance values
C ,13,-8.86E+00,0.01,Abundances by mass
N ,14,-6.47E+00,0.01,
N ,15,-8.67E+00,0.01,
O ,16,-1.16E+00,0.01,
O ,17,-7.18E+00,0.01,
O ,18,-9.06E+00,0.01,
F ,19,-1.10E+01,0.01,
Ne ,20,-2.58E+00,0.01,
Ne ,21,-7.50E+00,0.01,
Ne ,22,-5.78E+00,0.01,
Na ,23,-4.85E+00,0.01,
Mg ,24,-1.72E+00,0.01,
Mg ,25,-5.12E+00,0.01,
Mg ,26,-5.28E+00,0.01,
Al ,27,-3.72E+00,0.01,
Si ,28,-6.77E-01,0.01,
Si ,29,-3.51E+00,0.01,
Si ,30,-3.99E+00,0.01,
P ,31,-4.12E+00,0.01,
S ,32,-1.10E+00,0.01,
S ,33,-4.13E+00,0.01,
S ,34,-3.73E+00,0.01,
S ,36,-8.93E+00,0.01,
Cl ,35,-4.72E+00,0.01,
Cl ,37,-5.18E+00,0.01,
Ar ,36,-1.86E+00,0.01,
Ar ,38,-4.07E+00,0.01,
Ar ,40,-1.12E+01,0.01,
K ,39,-4.87E+00,0.01,
K ,41,-5.99E+00,0.01,
Ca ,40,-1.93E+00,0.01,
Ca ,42,-5.83E+00,0.01,
Ca ,43,-8.35E+00,0.01,
Ca ,44,-5.07E+00,0.01,
Ca ,46,-1.24E+01,0.01,
Ca ,48,-1.45E+01,0.01,
Sc ,45,-7.26E+00,0.01,
Ti ,46,-6.01E+00,0.01,
Ti ,47,-7.18E+00,0.01,
Ti ,48,-3.57E+00,0.01,
Ti ,49,-5.04E+00,0.01,
Ti ,50,-6.75E+00,0.01,
V ,50,-8.78E+00,0.01,
V ,51,-4.54E+00,0.01,
Cr ,50,-4.10E+00,0.01,
Cr ,52,-2.17E+00,0.01,
Cr ,53,-3.26E+00,0.01,
Cr ,54,-5.12E+00,0.01,
Mn ,55,-2.20E+00,0.01,
Fe ,54,-1.31E+00,0.01,
Fe ,56,-3.22E-01,0.01,
Fe ,57,-2.00E+00,0.01,
Fe ,58,-4.26E+00,0.01,
Co ,59,-3.50E+00,0.01,
Ni ,58,-1.44E+00,0.01,
Ni ,60,-2.41E+00,0.01,
Ni ,61,-4.48E+00,0.01,
Ni ,62,-3.96E+00,0.01,
Ni ,64,-7.58E+00,0.01,
Cu ,63,-5.63E+00,0.01,
Cu ,65,-7.05E+00,0.01,
Zn ,64,-4.91E+00,0.01,
Zn ,66,-6.35E+00,0.01,
Zn ,67,-9.75E+00,0.01,
Zn ,68,-9.91E+00,0.01,
Zn ,70,-1.48E+01,0.01,
Ga ,69,-1.26E+01,0.01,
Ga ,71,-1.47E+01,0.01,
