Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156 Table 3"
C ,14,-4.70E+00,0.01,Uncertainties estimated as 1% of abundance values
Na ,22,-7.53E+00,0.01,Abundances by mass
Al ,26,-5.42E+00,0.01,
Si ,32,-7.22E+00,0.01,
P ,32,-5.62E+00,0.01,
P ,33,-5.74E+00,0.01,
S ,35,-5.56E+00,0.01,
Cl ,36,-5.44E+00,0.01,
Ar ,37,-3.89E+00,0.01,
Ar ,39,-7.24E+00,0.01,
K ,40,-6.58E+00,0.01,
Ca ,41,-4.65E+00,0.01,
Ti ,44,-4.82E+00,0.01,
V ,48,-6.58E+00,0.01,
V ,49,-6.00E+00,0.01,
Cr ,48,-3.43E+00,0.01,
Cr ,49,-4.40E+00,0.01,
Cr ,51,-4.47E+00,0.01,
Mn ,51,-3.77E+00,0.01,
Mn ,52,-4.94E+00,0.01,
Mn ,53,-3.05E+00,0.01,
Mn ,54,-5.10E+00,0.01,
Fe ,52,-1.99E+00,0.01,
Fe ,53,-2.76E+00,0.01,
Fe ,55,-2.11E+00,0.01,
Fe ,59,-1.18E+01,0.01,
Fe ,60,-1.41E+01,0.01,
Co ,55,-1.60E+00,0.01,
Co ,56,-3.43E+00,0.01,
Co ,57,-2.45E+00,0.01,
Co ,58,-4.82E+00,0.01,
Co ,60,-9.29E+00,0.01,
Ni ,56,-3.86E-02,0.01,
Ni ,57,-1.48E+00,0.01,
Ni ,59,-2.83E+00,0.01,
Ni ,63,-1.03E+01,0.01,
Zn ,62,-3.63E+00,0.01,
Zn ,65,-9.00E+00,0.01,
Ge ,65,-7.37E+00,0.01,
Ge ,68,-9.24E+00,0.01,
