"Elem","Atomic Weight","Abundance","Uncertainty","All values from Seitenzahl et al., 2013, MNRAS 429:1156"
"C",12,-2.5171264164,0.01,"Uncertainties estimated as 1% of abundance values"
"C",13,-7.7594507517,0.01,"Abundances in Solar masses"
"N",14,-5.4934949676,0.01,""
"N",15,-8.4353339357,0.01,""
"O",16,-0.9956786262,0.01,""
"O",17,-6.3840499483,0.01,""
"O",18,-8.4522252946,0.01,""
"F",19,-10.3575354798,0.01,""
"Ne",20,-2.4522252946,0.01,""
"Ne",21,-6.3861581781,0.01,""
"Ne",22,-4.3904055908,0.01,""
"Na",23,-4.4271283978,0.01,""
"Mg",24,-1.8181564121,0.01,""
"Mg",25,-4.1877553032,0.01,""
"Mg",26,-4.0150228736,0.01,""
"Al",27,-3.1713401035,0.01,""
"Si",28,-0.54668166,0.01,""
"Si",29,-2.9871627753,0.01,""
"Si",30,-2.627087997,0.01,""
"P",31,-3.2388241868,0.01,""
"S",32,-0.9546770212,0.01,""
"S",33,-3.4698003018,0.01,""
"S",34,-2.3936186349,0.01,""
"S",36,-6.6073030467,0.01,""
"Cl",35,-3.7495799977,0.01,""
"Cl",37,-4.4546928835,0.01,""
"Ar",36,-1.7520267336,0.01,""
"Ar",38,-2.7189666328,0.01,""
"Ar",40,-8.2831622767,0.01,""
"K",39,-3.9706162223,0.01,""
"K",41,-5.2160964207,0.01,""
"Ca",40,-1.8326826653,0.01,""
"Ca",42,-4.3819519033,0.01,""
"Ca",43,-7.2132485779,0.01,""
"Ca",44,-5,0.01,""
"Ca",46,-10.3142582614,0.01,""
"Ca",48,-14.1051303433,0.01,""
"Sc",45,-6.6882461389,0.01,""
"Ti",46,-4.6757175447,0.01,""
"Ti",47,-6.151810883,0.01,""
"Ti",48,-3.5030703519,0.01,""
"Ti",49,-4.5867002359,0.01,""
"Ti",50,-6.585026652,0.01,""
"V",50,-8.2549252084,0.01,""
"V",51,-3.9788107009,0.01,""
"Cr",50,-3.3458234581,0.01,""
"Cr",52,-2.0670191781,0.01,""
"Cr",53,-2.9065783148,0.01,""
"Cr",54,-6.5833594927,0.01,""
"Mn",55,-2.031984286,0.01,""
"Fe",54,-1.0026136156,0.01,""
"Fe",56,-0.2062096153,0.01,""
"Fe",57,-1.7258421507,0.01,""
"Fe",58,-4.0958256317,0.01,""
"Co",59,-3.272458743,0.01,""
"Ni",58,-1.1611509093,0.01,""
"Ni",60,-2.3429441471,0.01,""
"Ni",61,-4.3223930473,0.01,""
"Ni",62,-3.3979400087,0.01,""
"Ni",64,-7.416801226,0.01,""
"Cu",63,-6.4225082002,0.01,""
"Cu",65,-7.0958256317,0.01,""
"Zn",64,-5.8794260688,0.01,""
"Zn",66,-5.747146969,0.01,""
"Zn",67,-8.9625735021,0.01,""
"Zn",68,-9.1402614338,0.01,""
"Zn",70,-14.651695137,0.01,""
"Ga",69,-12.4056074496,0.01,""
"Ga",71,-14.3946949539,0.01,""
