1, 0, 1.84534150349390025e+01, 3.64099999999999966e+01
1, 1, 2.96531181099979246e+00, 3.05799999999999983e+00
1, 2, 3.02621361405043832e+00, 4.20699999999999985e+00
2, 0, 2.77614097652957881e+00, 3.83800000000000008e+00
2, 1, 1.70867231721005730e+00, 2.84100000000000019e+00
3, 0, 2.12108400201642455e+00, 2.50800000000000001e+00
3, 1, 1.22385671253945572e+00, 2.47699999999999987e+00
4, 0, 1.18767482100452804e+00, 2.27800000000000002e+00
4, 1, 9.85028363949648655e-01, 2.07100000000000017e+00
5, 0, 9.65009627539620718e-01, 1.76699999999999990e+00
5, 1, 8.49728454610316208e-01, 1.68799999999999994e+00
6, 0, 8.37537481559639474e-01, 1.36800000000000010e+00
6, 1, 7.65660374128745991e-01, 1.36000000000000010e+00
7, 0, 7.57701179774919686e-01, 1.06299999999999994e+00
7, 1, 7.09857304533537681e-01, 1.09299999999999997e+00
8, 0, 7.04380060698566401e-01, 8.32999999999999963e-01
8, 1, 6.70926518782901882e-01, 8.80499999999999949e-01
9, 0, 6.66998963381751464e-01, 6.58900000000000041e-01
